date,cases_per_5people,felony,misdem,violat
02/29/2020,0.2,376,564,161
03/01/2020,0,368,676,216
03/02/2020,0,401,619,224
03/03/2020,0.2,388,700,207
03/04/2020,1,394,674,232
03/05/2020,0.6,423,639,198
03/06/2020,1.6,394,612,191
03/07/2020,1.4,387,605,191
03/08/2020,4.2,361,589,192
03/09/2020,11.4,363,625,216
03/10/2020,13.8,402,722,196
03/11/2020,31,377,710,212
03/12/2020,71,388,603,198
03/13/2020,123.8,415,704,247
03/14/2020,128.4,347,650,196
03/15/2020,207,348,599,177
03/16/2020,424.2,298,507,188
03/17/2020,490.4,300,495,175
03/18/2020,594.2,339,564,176
03/19/2020,741.2,292,488,143
03/20/2020,801.2,346,557,165
03/21/2020,527.8,318,482,174
03/22/2020,516,207,396,134
03/23/2020,714,222,403,134
03/24/2020,899.6,280,395,138
03/25/2020,975,250,422,165
03/26/2020,1008.8,248,417,130
03/27/2020,1023.8,274,474,149
03/28/2020,695.8,254,395,142
03/29/2020,712,207,328,98
03/30/2020,1225.8,287,400,126
03/31/2020,1091.6,222,400,140
04/01/2020,1089.8,299,485,140
04/02/2020,1149.2,241,400,141
04/03/2020,1133.8,235,378,139
04/04/2020,773,230,373,123
04/05/2020,756,250,328,113
04/06/2020,1270.6,272,355,121
04/07/2020,1208.8,275,352,137
04/08/2020,1115.2,275,435,146
04/09/2020,1014,234,439,99
04/10/2020,902,275,365,131
04/11/2020,746.6,226,404,129
04/12/2020,577.6,234,420,148
04/13/2020,662.2,271,376,130
04/14/2020,828.8,282,423,156
04/15/2020,775.2,300,446,119
04/16/2020,706,227,399,130
04/17/2020,717.2,246,453,138
04/18/2020,434.4,235,432,145
04/19/2020,468.8,285,422,135
04/20/2020,758.4,291,486,151
04/21/2020,612.6,280,477,125
04/22/2020,689.4,274,473,160
04/23/2020,568.2,285,445,139
04/24/2020,507,244,448,111
04/25/2020,319,309,498,155
04/26/2020,200.6,206,383,150
04/27/2020,458,241,460,154
04/28/2020,545.2,303,504,154
04/29/2020,468,286,496,133
04/30/2020,404.4,279,454,115
05/01/2020,377.4,346,596,171
05/02/2020,211.6,327,528,185
05/03/2020,157.4,288,489,161
05/04/2020,310,301,502,180
05/05/2020,302.4,303,544,133
05/06/2020,279.6,291,509,147
05/07/2020,247.8,295,519,150
05/08/2020,215.8,309,517,158
05/09/2020,131.4,254,470,135
05/10/2020,91.4,262,490,172
05/11/2020,246.4,299,495,146
05/12/2020,257,302,532,163
05/13/2020,266.6,311,534,139
05/14/2020,222,302,565,163
05/15/2020,174.6,359,564,183
05/16/2020,97,329,542,175
05/17/2020,72,253,516,154
05/18/2020,179,284,586,156
05/19/2020,200.8,329,584,145
05/20/2020,215.4,328,583,173
05/21/2020,213.8,369,591,170
05/22/2020,207.2,379,605,178
05/23/2020,91,293,488,168
05/24/2020,93.4,268,491,153
05/25/2020,92.8,309,537,144
05/26/2020,210,356,591,174
05/27/2020,148.2,354,612,178
05/28/2020,129.2,342,624,172
05/29/2020,127.8,407,607,170
05/30/2020,69.2,404,575,156
05/31/2020,46,461,545,179
06/01/2020,137.2,895,776,186
06/02/2020,114.2,634,593,165
06/03/2020,103,286,482,157
06/04/2020,103.8,306,487,178
06/05/2020,80.4,283,469,166
06/06/2020,49.4,318,458,150
06/07/2020,39.4,283,473,162
06/08/2020,89.4,331,510,189
06/09/2020,83.8,319,485,169
06/10/2020,72.6,322,540,181
06/11/2020,72.6,282,530,169
06/12/2020,81.8,346,571,174
06/13/2020,39.2,337,528,184
06/14/2020,36,284,482,175
06/15/2020,76,390,544,194
06/16/2020,83.8,303,485,169
06/17/2020,71.2,358,539,178
06/18/2020,75.6,333,535,158
06/19/2020,72.2,292,527,182
06/20/2020,40.6,338,563,188
06/21/2020,34.4,303,544,201
06/22/2020,80.4,359,569,196
06/23/2020,76.2,307,594,224
06/24/2020,76.2,361,620,205
06/25/2020,59.6,329,588,218
06/26/2020,63.4,367,608,243
06/27/2020,41.2,331,555,230
06/28/2020,40.2,349,519,167
06/29/2020,87.4,344,534,186
06/30/2020,88.2,344,566,198
07/01/2020,79,376,579,234
07/02/2020,83.2,374,581,191
07/03/2020,46.8,360,547,200
07/04/2020,24,323,562,180
07/05/2020,31,432,610,201
07/06/2020,86.2,347,572,212
07/07/2020,92.2,344,540,219
07/08/2020,87.4,321,623,189
07/09/2020,78.2,339,590,216
07/10/2020,61.2,356,542,193
07/11/2020,51.8,311,546,178
07/12/2020,44.6,410,587,202
07/13/2020,96.6,388,599,180
07/14/2020,80.4,365,638,171
07/15/2020,88,416,593,248
07/16/2020,82.2,379,549,207
07/17/2020,82.6,373,621,201
07/18/2020,43.2,365,551,205
07/19/2020,35.2,313,561,180
07/20/2020,80.2,351,549,205
07/21/2020,68,359,555,190
07/22/2020,65.8,348,593,188
07/23/2020,61.6,339,571,208
