,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,num_parks,QUARTER,YEAR
1,BRONX,0,0,18,3,0,6,0,27,217,1,2017
2,BROOKLYN,0,2,19,6,1,14,0,42,327,1,2017
3,BROOKLYN/QUEENS,0,0,0,0,0,0,0,0,5,1,2017
4,MANHATTAN,0,0,16,8,2,17,0,43,196,1,2017
5,QUEENS,0,1,11,1,1,6,0,20,284,1,2017
6,STATEN ISLAND,0,0,0,0,1,0,0,1,124,1,2017
7,BRONX,0,3,25,26,0,7,0,61,217,2,2017
8,BROOKLYN,0,1,30,27,0,49,1,108,327,2,2017
9,BROOKLYN/QUEENS,0,0,0,1,0,2,0,3,5,2,2017
10,MANHATTAN,0,3,18,14,1,63,1,100,196,2,2017
11,QUEENS,2,0,30,12,2,22,1,69,284,2,2017
12,STATEN ISLAND,0,0,3,2,0,0,0,5,124,2,2017
13,BRONX,0,4,32,27,2,32,1,98,217,3,2017
14,BROOKLYN,0,1,45,25,1,60,0,132,327,3,2017
15,BROOKLYN/QUEENS,0,0,4,0,0,3,1,8,5,3,2017
16,MANHATTAN,0,3,26,19,3,127,0,178,196,3,2017
17,QUEENS,0,4,28,20,1,37,0,90,284,3,2017
18,STATEN ISLAND,0,1,2,0,0,2,0,5,124,3,2017
19,BRONX,0,1,28,7,1,10,0,47,217,4,2017
20,BROOKLYN,0,1,38,17,2,24,0,82,327,4,2017
21,BROOKLYN/QUEENS,0,0,1,2,0,0,1,4,5,4,2017
22,MANHATTAN,0,0,20,7,1,44,0,72,196,4,2017
23,QUEENS,0,1,30,9,2,16,1,59,284,4,2017
24,STATEN ISLAND,0,0,3,1,0,1,0,5,124,4,2017
25,BRONX,0,0,18,6,0,5,0,29,217,1,2018
26,BROOKLYN,0,1,17,6,0,7,0,31,327,1,2018
27,BROOKLYN/QUEENS,0,0,0,0,0,0,0,0,5,1,2018
28,MANHATTAN,0,0,14,6,1,9,0,30,196,1,2018
29,QUEENS,0,0,8,1,0,6,0,15,284,1,2018
30,STATEN ISLAND,0,0,2,0,0,2,0,4,124,1,2018
31,BRONX,2,0,34,17,2,9,0,64,217,2,2018
32,BROOKLYN,2,3,25,17,1,46,1,95,327,2,2018
33,BROOKLYN/QUEENS,0,0,0,1,0,2,0,3,5,2,2018
34,MANHATTAN,0,2,22,19,0,63,0,106,196,2,2018
35,QUEENS,1,2,22,10,3,22,1,61,284,2,2018
36,STATEN ISLAND,0,3,1,0,0,0,0,4,124,2,2018
37,BRONX,1,1,31,21,2,31,1,88,217,3,2018
38,BROOKLYN,1,4,30,37,2,73,0,147,327,3,2018
39,BROOKLYN/QUEENS,0,0,1,3,0,5,0,9,5,3,2018
40,MANHATTAN,1,2,25,34,2,134,0,198,196,3,2018
41,QUEENS,0,2,20,22,1,54,1,100,284,3,2018
42,STATEN ISLAND,0,0,1,1,0,1,0,3,124,3,2018
43,BRONX,0,1,27,6,3,5,1,43,217,4,2018
44,BROOKLYN,0,4,28,18,0,12,0,62,327,4,2018
45,BROOKLYN/QUEENS,0,0,1,0,0,0,0,1,5,4,2018
46,MANHATTAN,0,3,17,11,8,29,0,68,196,4,2018
47,QUEENS,1,0,15,2,1,14,2,35,284,4,2018
48,STATEN ISLAND,0,0,0,1,0,1,0,2,124,4,2018
49,BRONX,0,0,18,4,0,4,0,26,217,1,2019
